#,Name,Typ 1,Typ 2,Gesamt,KP,Angriff,Verteidigung,Spez. Angr,Spez. Vert,Tempo,Generation,Legendär,Beschreibung,Vorherige Evolution
152,Endivie,Gras,,318,45,49,65,49,65,45,2,Nein,"Sanft und schüchtern, benutzt seine Blätter, um sich zu verstecken.",Keine
153,Lorblatt,Gras,,405,60,62,80,63,80,60,2,Nein,"Seine Blätter entwickeln einen süßlichen Duft, der die Luft reinigt.",Endivie
154,Meganie,Gras,,525,80,82,100,83,100,80,2,Nein,"Ruhig und weise, nutzt Sonnenlicht, um Energie zu gewinnen.",Lorblatt
155,Feurigel,Feuer,,309,39,52,43,60,50,65,2,Nein,"Klein, aber mutig, schießt Feuerbälle aus seinem Rücken.",Keine
156,Igelavar,Feuer,,405,58,64,58,80,65,80,2,Nein,"Ist hitziger und agiler, kann Feinde mit intensiven Flammen abwehren.",Feurigel
157,Tornupto,Feuer,,534,78,84,78,109,85,100,2,Nein,"Erzeugt Hitzewellen, die seine Gegner in die Flucht schlagen können.",Igelavar
158,Karnimani,Wasser,,314,50,65,64,44,48,43,2,Nein,"Stark und robust, beißt mit seinen kräftigen Kiefern.",Keine
159,Tyracroc,Wasser,,405,65,80,80,59,63,58,2,Nein,"Schützt sein Territorium vehement und greift ohne Warnung an.",Karnimani
160,Impergator,Wasser,,530,85,105,100,79,83,78,2,Nein,"Intimidierend und kräftig, jagt Beute im Wasser.",Tyracroc
161,Wiesor,Normal,,215,35,46,34,35,45,20,2,Nein,"Sehr neugierig, verwendet seinen buschigen Schweif zur Balance.",Keine
162,Wiesenior,Normal,,415,85,76,64,45,55,90,2,Nein,"Schnell und wendig, kann sich leise und unbemerkt bewegen.",Wiesor
163,Hoothoot,Normal,Flug,262,60,30,30,36,56,50,2,Nein,"Steht auf einem Bein und hat ein präzises inneres Uhrwerk.",Keine
164,Noctuh,Normal,Flug,442,100,50,50,76,96,70,2,Nein,"Fliegt lautlos und hat außergewöhnlich gute Nachtsicht.",Hoothoot
165,Ledyba,Käfer,Flug,265,40,20,30,40,80,55,2,Nein,"Sozial und schüchtern, sammelt sich in Gruppen, um Wärme zu teilen.",Keine
166,Ledian,Käfer,Flug,390,55,35,50,55,110,85,2,Nein,"Beschützt sein Revier energisch und nutzt Lichtsignale zur Kommunikation.",Ledyba
167,Webarak,Käfer,Gift,250,40,60,40,40,40,30,2,Nein,"Erstellt komplexe Netze, die auch als sein Zuhause dienen.",Keine
168,Ariados,Käfer,Gift,390,70,90,70,60,60,40,2,Nein,"Jagt aktiv nachts und ist sehr territorial.",Webarak
169,Iksbat,Gift,Flug,535,85,90,80,70,80,130,2,Nein,"Fliegt schnell und leise, kann sich in der Dunkelheit verstecken.",Golbat
170,Lampi,Wasser,Elektro,330,75,38,38,56,56,67,2,Nein,"Erzeugt Lichtblitze, um Beute anzulocken und zu betäuben.",Keine
171,Lanturn,Wasser,Elektro,460,125,58,58,76,76,67,2,Nein,"Kann tief unter Wasser leuchten, um seine Umgebung zu erkunden.",Lampi
172,Pichu,Elektro,,205,20,40,15,35,35,60,2,Nein,"Sehr klein, muss vorsichtig sein, um sich nicht selbst zu schocken.",Keine
173,Pii,Fee,,218,50,25,28,45,55,15,2,Nein,"Noch sehr jung, entwickelt seine Fähigkeiten durch Spielen und Lachen.",Keine
174,Fluffeluff,Normal,Fee,210,90,30,15,40,20,15,2,Nein,"Weich und kuschelig, nutzt seine Niedlichkeit, um Feinde zu verwirren.",Keine
175,Togepi,Fee,,245,35,20,65,40,65,20,2,Nein,"Trägt ein schützendes Schalengehäuse und sammelt Glück.",Keine
176,Togetic,Fee,Flug,405,55,40,85,80,105,40,2,Nein,"Freundlich und hilfsbereit, verteilt Glück, wo es geht.",Togepi
177,Natu,Psycho,Flug,320,40,50,45,70,45,70,2,Nein,"Klein, kann aber kurze Distanzen teleportieren.",Keine
178,Xatu,Psycho,Flug,470,65,75,70,95,70,95,2,Nein,"Steht oft regungslos und starrt in die Sonne, kann die Zukunft sehen.",Natu
179,Voltilamm,Elektro,,280,55,40,40,65,45,35,2,Nein,"Erzeugt statische Elektrizität mit seiner flauschigen Wolle.",Keine
180,Waaty,Elektro,,365,70,55,55,80,60,45,2,Nein,"Mehr Kontrolle über seine elektrischen Ladungen, schützt sich mit isolierender Wolle.",Voltilamm
181,Ampharos,Elektro,,510,90,75,85,115,90,55,2,Nein,"Sein Schwanz leuchtet so hell, dass es als Leuchtturm verwendet werden kann.",Waaty
182,Blubella,Gras,,490,75,80,95,90,100,50,2,Nein,"Tanzt im Wind, dessen Blätter beruhigende Melodien erzeugen.",Giflor
183,Marill,Wasser,Fee,250,70,20,50,20,50,40,2,Nein,"Sein Schweif dient als Schwimmhilfe, während es im Wasser spielt.",Keine
184,Azumarill,Wasser,Fee,420,100,50,80,60,80,50,2,Nein,"Stark und robust, kann mit seinen kräftigen Armen Gegner schleudern.",Marill
185,Mogelbaum,Gestein,,410,70,100,115,30,65,30,2,Nein,"Sieht aus wie ein Baum, bleibt regungslos, um Feinde zu täuschen.",Keine
186,Quaxo,Wasser,,500,90,75,75,90,100,70,2,Nein,"Hat einen entspannten Charakter, aber seine Gesänge sind mächtig.",Quaputzi
187,Hoppspross,Gras,Flug,250,35,35,40,35,55,50,2,Nein,"Sehr leicht, kann vom Wind getragen werden.",Keine
188,Hubelupf,Gras,Flug,340,55,45,50,45,65,80,2,Nein,"Springt und schwebt mit seinen Blättern, nutzt Windströmungen.",Hoppspross
189,Papungha,Gras,Flug,460,75,55,70,55,95,110,2,Nein,"Verwendet seine Blütenblätter zum Gleiten und kann Stürme auslösen.",Hubelupf
190,Griffel,Normal,,360,55,70,55,40,55,85,2,Nein,"Sehr geschickt und kann mit seinem Schweif Objekte greifen.",Keine
191,Sonnkern,Gras,,180,30,30,30,30,30,30,2,Nein,"Eines der schwächsten Pokémon, nutzt Sonnenlicht zur Energiegewinnung.",Keine
192,Sonnflora,Gras,,425,75,75,55,105,85,30,2,Nein,"Blüht in der Sonne auf und kann sehr große Mengen an Sonnenenergie aufnehmen.",Sonnkern
193,Yanma,Käfer,Flug,390,65,65,45,75,45,95,2,Nein,"Schnell und wendig, kann abrupte Richtungswechsel vornehmen.",Keine
194,Felino,Wasser,Boden,210,55,45,45,25,25,15,2,Nein,"Lebt im Schlamm und ist schwer zu fangen, da es leicht untertaucht.",Keine
195,Morlord,Wasser,Boden,430,95,85,85,65,65,35,2,Nein,"Entspannt und langsam, aber im Wasser überraschend wendig.",Felino
196,Psiana,Psycho,,525,65,65,60,130,95,110,2,Nein,"Entwickelt aus Evoli, wenn es starke Bindungen zu seinem Trainer hat.",Evoli
197,Nachtara,Unlicht,,525,95,65,110,60,130,65,2,Nein,"Entwickelt aus Evoli während der Nacht, versteckt sich im Schatten.",Evoli
198,Kramurx,Unlicht,Flug,405,60,85,42,85,42,91,2,Nein,"Clever und schlau, stiehlt glänzende Objekte, um sein Nest zu schmücken.",Keine
199,Laschoking,Wasser,Psycho,490,95,75,80,100,110,30,2,Nein,"Hat einen entspannten Charakter, aber seine Gesänge sind mächtig.",Lahmus
200,Misdreavus,Geist,,435,60,60,60,85,85,85,2,Nein,"Schwebt leise und erschreckt Menschen und Pokémon mit gruseligen Schreien.",Keine
201,Icognito,Psycho,,336,48,72,48,72,48,48,2,Nein,"Kommuniziert über geheimnisvolle Formen und Bewegungen.",Keine
